時間戳記,電燈狀態,溫度,濕度
2025-11-29 14:19:27,開,23.8,59.09
2025-11-29 14:24:27,關,25.15,58.8
2025-11-29 14:29:27,關,24.18,61.34
2025-11-29 14:34:27,關,24.64,60.68
2025-11-29 14:39:27,開,24.55,58.35
2025-11-29 14:44:27,關,27.21,65.07
2025-11-29 14:49:27,關,27.79,66.44
2025-11-29 14:54:27,開,30.37,66.78
2025-11-29 14:59:27,關,27.8,62.09
2025-11-29 15:04:27,關,31.7,65.48
2025-11-29 15:09:27,開,26.81,58.74
2025-11-29 15:14:27,開,24.64,59.06
2025-11-29 15:19:27,關,26.59,62.53
2025-11-29 15:24:27,關,24.53,64.68
2025-11-29 15:29:27,開,28.28,65.7
2025-11-29 15:34:27,開,26.83,69.06
2025-11-29 15:39:27,開,29.9,62.69
2025-11-29 15:44:27,關,27.97,60.68
2025-11-29 15:49:27,關,27.36,59.58
2025-11-29 15:54:27,關,30.31,66.07
2025-11-29 15:59:27,關,25.86,62.29
2025-11-29 16:04:27,關,25.95,68.66
2025-11-29 16:09:27,關,26.36,67.1
2025-11-29 16:14:27,開,28.55,70.37
2025-11-29 16:19:27,關,28.39,60.89
2025-11-29 16:24:27,關,24.94,60.09
2025-11-29 16:29:27,關,28.67,58.48
2025-11-29 16:34:27,關,26.01,59.22
2025-11-29 16:39:27,關,31.6,59.58
2025-11-29 16:44:27,關,31.46,64.89
2025-11-29 16:49:27,開,26.23,62.49
2025-11-29 16:54:27,開,23.44,69.82
2025-11-29 16:59:27,關,28.11,62.31
2025-11-29 17:04:27,關,27.18,58.32
2025-11-29 17:09:27,開,29.84,64.16
2025-11-29 17:14:27,開,26.75,64.7
2025-11-29 17:19:27,關,28.52,63.8
2025-11-29 17:24:27,關,26.31,65.33
2025-11-29 17:29:27,關,26.9,68.33
2025-11-29 17:34:27,開,30.94,67.52
2025-11-29 17:39:27,關,27.16,55.9
2025-11-29 17:44:27,關,26.47,57.78
2025-11-29 17:49:27,開,23.58,60.0
2025-11-29 17:54:27,關,24.75,66.01
2025-11-29 17:59:27,關,26.39,61.86
2025-11-29 18:04:27,開,26.23,61.71
2025-11-29 18:09:27,關,30.84,64.17
2025-11-29 18:14:27,關,30.83,70.1
2025-11-29 18:19:27,開,29.92,62.62
2025-11-29 18:24:27,關,30.07,56.31
2025-11-30 15:20:42,開,21.34,48.54
2025-11-30 15:20:44,關,22.67,51.5
2025-11-30 15:20:46,開,25.88,63.28
2025-11-30 15:20:48,關,27.62,67.25
2025-11-30 15:20:50,開,25.47,69.0
2025-11-30 15:20:52,關,22.02,63.57
2025-11-30 15:20:54,開,24.55,68.4
2025-11-30 15:20:56,關,23.69,46.08
2025-11-30 15:20:58,開,21.13,62.57
2025-11-30 15:21:00,關,20.64,61.74
2025-11-30 15:21:36,開,23.73,49.96
2025-11-30 15:21:38,關,17.95,64.04
2025-11-30 15:21:40,開,28.64,68.67
2025-11-30 15:21:42,關,27.32,55.4
2025-11-30 15:21:44,開,22.86,44.63
2025-11-30 15:21:46,關,17.96,57.7
2025-11-30 15:21:48,開,24.71,68.06
2025-11-30 15:21:50,關,16.41,49.57
2025-11-30 15:21:52,開,15.67,50.92
2025-11-30 15:21:54,關,22.22,43.51
2025-12-07 22:34:49,on,30.3,63.4
2025-12-07 22:34:59,off,32.0,62.1
2025-12-07 22:35:09,off,27.6,71.9
2025-12-07 22:35:19,off,20.4,65.8
2025-12-07 22:35:29,off,31.3,58.8
2025-12-07 22:35:39,off,26.4,45.0
2025-12-07 22:35:49,off,27.9,42.0
2025-12-07 22:35:59,off,23.3,75.7
2025-12-07 22:36:09,off,28.4,74.5
2025-12-07 22:36:19,on,20.3,43.4
2025-12-07 22:36:29,on,30.5,59.0
2025-12-07 22:36:39,off,21.4,59.8
2025-12-07 22:36:49,on,21.6,74.9
2025-12-07 22:36:59,off,20.3,54.9
2025-12-07 22:37:09,off,23.4,42.7
2025-12-07 22:37:19,on,24.5,76.5
2025-12-07 22:37:29,on,31.8,76.7
2025-12-07 22:37:39,off,28.3,44.8
2025-12-07 22:37:49,off,30.5,59.0
2025-12-07 22:37:59,off,32.6,65.1
2025-12-07 22:38:09,on,30.0,54.3
2025-12-07 22:38:19,on,24.7,72.3
2025-12-07 22:38:29,on,27.7,43.7
2025-12-07 22:38:39,off,33.8,51.2
2025-12-07 22:38:49,off,24.0,54.6
2025-12-07 22:38:59,on,31.9,74.7
2025-12-07 22:39:09,off,34.2,40.3
2025-12-07 22:39:19,on,23.2,62.3
2025-12-07 22:39:29,off,25.7,62.9
2025-12-07 22:39:39,on,34.3,52.7
2025-12-07 22:39:49,off,34.1,55.4
2025-12-07 22:39:59,off,28.3,64.6
2025-12-07 22:40:09,off,23.5,73.3
2025-12-07 22:40:19,off,33.5,45.2
2025-12-07 22:40:29,off,20.1,47.2
2025-12-07 22:40:39,on,22.0,45.5
2025-12-07 22:40:49,off,33.7,78.9
2025-12-07 22:40:59,on,33.8,51.3
2025-12-07 22:41:09,off,30.0,57.6
2025-12-07 22:41:19,on,21.8,50.3
2025-12-07 22:41:29,on,21.2,58.7
2025-12-07 22:41:39,off,34.2,61.0
2025-12-07 22:41:49,on,23.7,41.7
